open,high,low,close,date,volume
3518.5,3521.19,3475.09,3495.75,22-06-2024 00:00,115774.6157
3495.76,3521.45,3406.38,3420.91,23-06-2024 00:00,133411.4304
3420.91,3435.76,3240.0,3352.73,24-06-2024 00:00,543370.4229
3352.74,3430.88,3336.76,3394.91,25-06-2024 00:00,240036.2236
3394.91,3426.75,3325.01,3371.44,26-06-2024 00:00,206949.3418
3371.77,3477.0,3361.74,3450.44,27-06-2024 00:00,201041.6609
3450.44,3487.7,3365.22,3380.15,28-06-2024 00:00,221634.3435
3380.15,3408.32,3371.86,3378.8,29-06-2024 00:00,88329.7651
3378.8,3460.0,3352.66,3438.16,30-06-2024 00:00,141221.6185
3438.16,3524.94,3423.78,3442.2,01-07-2024 00:00,224273.2122
3442.2,3464.12,3402.0,3421.35,02-07-2024 00:00,137932.7014
3421.35,3432.1,3251.0,3295.48,03-07-2024 00:00,310408.451
3295.49,3313.45,3050.34,3059.7,04-07-2024 00:00,450402.5692
3059.7,3110.0,2810.0,2981.78,05-07-2024 00:00,886994.3753
2981.79,3081.78,2955.06,3066.83,06-07-2024 00:00,214487.9713
3066.83,3073.08,2922.24,2931.0,07-07-2024 00:00,179892.7612
2930.99,3097.06,2822.8,3019.01,08-07-2024 00:00,500445.0105
3019.01,3115.2,3004.0,3066.65,09-07-2024 00:00,280358.1424
3066.65,3151.51,3024.0,3101.05,10-07-2024 00:00,270827.0844
3101.06,3217.24,3054.76,3099.57,11-07-2024 00:00,289229.32
3099.57,3157.89,3045.58,3133.88,12-07-2024 00:00,185745.1825
3133.89,3201.8,3113.37,3175.93,13-07-2024 00:00,119302.4769
3175.93,3268.72,3163.67,3245.08,14-07-2024 00:00,165430.7716
3245.2,3493.63,3233.22,3483.39,15-07-2024 00:00,314296.8452
3483.2,3498.59,3346.55,3444.13,16-07-2024 00:00,376128.7869
3444.14,3517.0,3376.0,3387.05,17-07-2024 00:00,297812.5162
3387.05,3489.98,3367.2,3426.5,18-07-2024 00:00,241950.3457
3426.49,3540.27,3377.0,3503.53,19-07-2024 00:00,299511.6422
3503.53,3539.65,3480.0,3517.5,20-07-2024 00:00,147510.8165
3517.5,3547.0,3411.4,3535.92,21-07-2024 00:00,218890.9656
3535.93,3562.82,3422.34,3439.6,22-07-2024 00:00,207859.5043
3439.61,3541.0,3389.0,3482.51,23-07-2024 00:00,500568.7811
3482.51,3487.82,3300.0,3335.81,24-07-2024 00:00,275479.0506
3335.82,3342.5,3087.53,3175.48,25-07-2024 00:00,494282.6398
3175.47,3286.36,3171.0,3274.61,26-07-2024 00:00,260237.4641
3274.6,3327.59,3191.01,3249.01,27-07-2024 00:00,231991.9037
3249.0,3284.3,3198.11,3270.16,28-07-2024 00:00,103529.8329
3270.16,3396.77,3258.0,3317.66,29-07-2024 00:00,318471.5055
3317.66,3366.4,3233.18,3279.21,30-07-2024 00:00,197277.1641
3279.2,3350.0,3213.75,3232.74,31-07-2024 00:00,233711.3352
3232.74,3242.57,3080.02,3203.4,01-08-2024 00:00,323285.6105
3203.4,3218.6,2967.0,2989.61,02-08-2024 00:00,385704.0395
2989.61,3018.02,2859.0,2903.64,03-08-2024 00:00,344595.3157
2903.65,2935.46,2630.0,2688.92,04-08-2024 00:00,512064.2612
2688.91,2697.44,2111.0,2419.59,05-08-2024 00:00,2670604.1003
2419.76,2556.23,2414.19,2461.33,06-08-2024 00:00,642283.8038
2461.33,2551.32,2309.04,2342.8,07-08-2024 00:00,630115.4228
2342.79,2724.1,2320.4,2682.5,08-08-2024 00:00,586502.8754
2682.5,2707.98,2552.61,2598.78,09-08-2024 00:00,406739.9611
2598.79,2644.7,2576.49,2609.92,10-08-2024 00:00,171012.3619
2609.92,2720.0,2540.0,2555.38,11-08-2024 00:00,297098.9145
2555.38,2750.0,2510.05,2722.3,12-08-2024 00:00,483414.2506
2722.3,2738.4,2611.37,2702.44,13-08-2024 00:00,325668.6964
2702.44,2780.0,2632.2,2661.45,14-08-2024 00:00,338808.7141
